x1	x2
74	197
469	265
304	343
74	591
270	174
165	209
165	498
149	296
155	139
491	262
368	299
663	221
527	148
469	394
714	25
584	0
123	89
139	320
78	227
358	766
522	517
590	1009
110	110
363	143
49	156
101	389
123	315
110	132
384	150
1365	123
821	436
667	242
394	280
645	313
552	158
165	55
246	403
714	470
270	308
165	98
101	934
49	640
143	257
222	227
233	210
147	101
123	74
177	125
123	89
187	74
49	104
74	148
147	174
174	247
221	179
247	174
74	246
125	177
49	296
25	198
211	220
226	187
202	220
104	125
25	540
261	638
74	308
98	320
74	247
98	581
55	406
221	257
74	275
323	246
247	74
172	148
89	172
55	174
74	308
1426	158
1887	300
948	271
1085	244
864	174
187	540
261	335
522	172
400	296
123	158
668	148
688	246
868	321
74	78
226	110
304	331
110	172
174	315
98	478
110	198
74	265
149	321
123	662
174	526
123	804
123	257
738	275
147	98
270	265
525	232
549	203
1332	330
299	331
147	89
177	369
393	313
457	174
693	221
640	158
545	278
1077	172
663	262
961	335
220	251
328	198
132	308
143	221
174	197
123	375
49	680
172	738
372	123
147	299
198	275
1154	280
665	220
665	232
172	423
246	174
155	913
157	143
1674	299
978	430
1424	376
1352	247
384	272
49	233
49	125
49	179
123	376
89	223
296	177
573	227
352	123
319	98
172	174
1230	172
132	296
198	247
165	350
123	179
69	210
155	198
286	165
49	320
143	740
123	320
157	165
489	537
157	101
222	198
253	123
123	335
49	272
125	925
74	313
110	517
104	700
125	540
561	440
226	596
375	330
98	297
220	280
334	662
210	198
762	350
589	148
300	174
155	300
172	621
172	98
304	55
247	246
74	227
125	382
472	246
541	266
567	297
594	287
412	550
174	143
342	271
376	467
347	74
489	110
670	177
196	223
98	287
521	123
477	221
860	394
663	403
689	369
397	203
381	221
541	394
1180	280
74	101
275	198
286	473
174	530
49	488
55	342
35	553
396	342
123	344
394	375
147	369
344	462
296	358
542	297
699	397
1351	280
1025	210
349	423
649	156
692	187
172	517
98	738
179	389
221	233
125	352
98	272
270	150
172	74
494	220
123	280
49	348
55	566
560	242
403	242
648	331
155	244
663	297
147	221
74	355
55	242
125	232
25	271
98	172
49	330
549	385
89	177
192	272
49	221
55	363
89	123
49	132
55	101
25	98
98	221
256	98
123	348
202	519
123	262
147	320
1151	348
270	197
222	197
275	242
174	223
123	330
851	870
715	232
296	344
256	262
147	355
202	366
270	150
345	174
210	348
147	369
101	227
396	49
1077	220
467	203
297	324
104	488
443	172
233	366
594	172
78	179
69	192
101	730
174	49
35	101
101	74
187	123
98	355
226	352
101	89
49	246
174	172
187	177
172	132
74	797
123	271
123	246
123	98
296	470
409	300
314	223
192	179
256	227
526	132
89	546
139	98
368	295
681	615
758	369
1209	174
561	197
787	704
539	468
640	400
567	227
1409	227
640	174
132	192
74	174
101	221
157	123
101	123
682	174
78	366
78	440
174	335
157	198
74	74
157	350
89	177
104	104
89	174
55	139
25	449
49	172
125	221
147	344
147	537
561	78
275	123
149	198
295	232
98	123
261	98
98	123
55	110
123	418
98	232
198	400
457	467
716	541
198	574
149	423
836	320
123	220
55	278
74	397
400	232
110	342
74	537
49	246
74	370
125	857
98	265
55	345
49	198
174	210
74	345
123	125
74	561
69	348
484	369
549	247
198	244
149	369
172	104
74	330
368	443
55	203
110	275
839	623
835	187
147	296
196	320
147	397
49	221
89	955
55	355
49	266
74	470
49	443
98	227
74	220
55	227
74	192
104	384
101	297
89	266
55	174
74	150
174	654
616	197
296	192
55	156
663	262
246	98
25	49
25	123
147	123
484	143
147	101
445	233
222	247
187	198
49	295
25	78
296	104
196	179
638	265
125	172
78	397
308	348
246	331
683	308
110	342
174	389
125	530
101	748
49	320
369	221
172	78
147	738
25	210
49	198
49	123
101	198
101	223
143	467
74	296
220	223
123	348
25	125
78	233
49	287
165	156
74	172
177	104
192	74
55	198
49	187
132	143
101	123
0	223
89	295
165	308
125	644
98	425
55	174
811	609
400	458
172	262
266	221
295	197
982	123
570	308
443	221
132	397
110	123
123	132
25	247
74	473
344	187
196	132
198	221
275	242
472	272
783	197
722	123
172	125
139	143
295	363
270	110
174	98
110	197
296	246
296	233
55	335
147	104
49	148
98	266
89	352
101	324
98	418
202	223
516	287
698	247
270	89
448	123
448	123
484	123
429	78
242	265
74	78
177	233
149	148
104	143
98	172
74	172
74	198
233	925
247	370
246	874
55	179
49	98
264	49
988	192
98	369
125	123
98	638
232	148
271	98
226	223
591	247
374	198
300	174
295	74
246	49
652	271
74	369
0	430
123	212
89	247
147	221
280	528
139	734
793	123
345	212
709	123
143	177
74	198
155	104
155	89
165	55
49	550
196	640
49	251
98	165
49	74
35	296
25	272
123	247
78	244
98	143
25	98
89	123
123	187
98	148
349	397
614	366
69	156
923	246
89	320
540	198
860	78
629	460
518	150
477	574
525	197
1180	98
1180	123
434	487
256	123
261	179
586	74
352	187
123	345
147	262
429	110
172	104
55	123
101	110
89	403
101	358
155	295
226	132
443	592
297	568
384	485
98	493
210	174
155	436
147	125
226	272
25	187
139	172
147	542
123	192
177	894
123	198
123	123
172	253
89	308
179	375
172	132
78	443
149	197
69	903
668	363
78	275
74	148
35	148
147	89
78	165
123	246
384	493
676	251
296	827
210	542
497	348
439	473
439	344
570	308
372	174
198	350
329	49
98	101
147	143
250	591
442	156
567	220
266	641
818	617
590	296
304	227
296	101
388	246
286	803
177	454
98	299
192	271
211	300
98	74
101	343
172	344
123	251
55	172
104	418
78	227
123	150
74	187
110	288
110	227
165	174
220	74
155	74
143	271
123	98
296	123
198	299
123	174
98	452
297	265
74	179
147	370
69	864
123	579
418	394
894	443
914	348
226	366
320	123
329	172
147	165
1154	272
172	98
192	220
363	125
101	49
149	296
812	262
196	49
155	590
104	443
110	223
89	139
198	150
165	150
210	540
147	287
89	123
125	330
110	406
25	478
49	443
165	74
139	148
210	132
74	246
165	275
101	133
98	197
299	123
98	102
101	227
123	123
110	165
211	246
25	123
78	144
69	144
89	178
202	203
246	165
101	301
55	377
892	232
609	223
170	408
554	471
974	227
756	698
944	389
702	444
987	544
982	148
716	266
411	133
842	148
899	227
409	99
314	397
123	197
648	150
772	148
724	99
775	174
596	148
467	199
218	298
321	298
120	320
146	220
99	397
248	262
144	298
48	562
76	123
48	222
144	266
361	197
76	353
48	478
217	110
48	271
241	99
96	222
72	413
48	156
87	254
54	123
96	223
161	244
99	265
96	246
140	355
204	324
568	150
579	377
76	353
120	1069
96	436
218	413
228	424
96	377
76	70
144	203
34	89
554	222
238	287
123	144
48	174
72	404
72	287
108	150
560	199
385	156
241	126
96	222
170	172
442	89
392	148
265	99
217	335
217	174
170	305
345	366
99	203
313	158
549	178
795	74
130	55
1142	123
501	188
183	436
96	524
76	491
194	223
76	243
152	148
76	498
76	505
76	627
218	312
444	272
168	453
72	473
120	199
72	210
48	222
48	1066
99	397
0	647
99	348
144	227
96	694
48	246
154	156
144	297
572	203
274	353
175	172
54	419
154	419
72	467
146	359
218	257
140	197
321	99
554	74
170	148
139	99
193	350
146	150
193	366
48	212
218	243
374	297
193	297
96	165
193	199
96	133
194	608
120	197
72	223
120	222
96	210
96	298
54	588
72	156
120	301
120	126
68	158
549	210
174	148
130	262
439	467
175	458
54	199
99	297
87	496
76	575
96	126
76	156
72	178
102	104
72	212
54	126
198	210
228	441
922	300
306	102
242	123
282	254
465	74
337	74
241	199
304	199
467	279
661	312
650	520
761	78
604	123
851	725
293	123
410	133
869	222
381	222
655	197
426	257
269	518
146	251
120	300
96	272
54	126
48	476
102	257
241	102
96	148
87	148
54	212
76	330
72	227
76	227
48	123
120	248
0	232
68	49
282	144
222	281
76	156
76	321
76	179
123	232
120	557
72	443
177	102
99	126
108	199
855	287
624	246
741	305
130	89
144	165
144	148
130	203
152	123
508	70
265	174
72	377
99	199
76	389
108	123
207	123
120	174
102	123
48	99
48	246
99	197
859	321
361	335
648	148
550	126
345	178
848	389
487	144
685	123
607	343
381	49
260	172
218	49
170	425
722	507
248	389
120	419
96	650
140	499
250	178
170	49
96	78
174	123
96	102
48	102
72	70
168	275
48	126
120	74
120	89
217	55
72	199
289	350
155	287
881	485
534	478
688	474
235	493
258	148
96	78
52	99
116	144
117	499
157	244
875	172
475	227
50	199
356	234
377	222
289	49
209	99
463	89
245	172
485	353
83	474
99	254
188	382
83	324
84	78
83	49
141	110
99	78
133	148
111	616
66	222
96	174
149	74
70	585
585	348
224	246
215	265
311	89
99	296
116	148
50	272
83	421
317	78
868	210
297	209
583	110
1658	99
120	353
156	298
142	197
104	188
89	110
74	251
68	174
541	222
292	551
684	251
84	110
89	172
66	74
106	165
106	165
83	104
68	74
66	49
66	89
261	377
600	74
849	210
330	99
467	123
230	158
257	197
609	188
66	220
129	212
70	246
188	246
96	493
100	123
83	99
47	321
89	49
106	133
52	110
456	222
1017	517
637	126
238	49
89	126
413	99
343	469
429	419
1341	272
264	389
96	469
66	624
175	158
132	89
100	156
350	172
476	604
562	102
1085	102
426	321
84	321
617	148
116	123
282	174
50	172
33	493
116	397
66	488
59	49
52	199
104	395
553	329
74	373
33	353
133	123
99	99
50	212
96	197
926	251
1041	123
446	243
743	70
553	126
679	199
492	329
469	104
82	89
111	144
760	123
403	172
533	99
524	126
1107	330
728	246
611	376
705	172
319	148
136	102
178	419
68	345
120	397
83	389
221	345
188	877
96	355
68	366
104	288
83	156
104	110
111	394
165	554
104	110
281	55
132	99
450	156
558	444
149	139
106	197
59	419
141	486
68	148
96	366
66	174
50	148
68	197
126	126
1328	148
1034	209
396	133
1366	148
710	446
628	406
329	203
624	321
1129	266
434	401
281	197
84	672
47	541
178	478
83	123
66	234
99	197
89	199
100	246
116	436
68	179
84	324
129	74
93	227
141	150
99	55
93	174
50	493
132	174
66	210
68	324
149	493
33	172
325	199
149	199
1131	55
163	148
83	123
133	70
83	647
50	410
74	541
83	430
165	150
84	165
883	172
337	401
188	223
66	540
408	158
199	148
172	575
111	110
83	518
89	123
1007	222
233	197
230	174
577	110
687	158
995	78
261	246
83	172
83	246
408	NA
119	NA
188	NA
136	NA
68	NA
152	NA
126	NA
142	NA
37	NA
142	NA
116	NA
117	NA
99	NA
84	NA
68	NA
59	NA
